"OBJECTID","PITID","KST","ANLAG_OBJN","AKTENZEICH","STANDORT_N","KENNZEICHE","NAME_NUMBE","NAME_BEZIR","NAME","GEFAELLT","LAUFENDE_N","ART_BOTANI","ART_DEUTSC","STAMMUMFAN","KRONNENDUR","BAUMHOEHE","ZUSATZ","ERSTERFASS","REGEL_KONT","EAST","NORTH","FAELLDATUM","NAME_D","MESS_ART","MESS_DATUM","VITALITAET"
"102","00008100:0003674f","1110","1557","I 30 73","490","1557-","Sidonienstraße 3, RS, mit Garten","Bezirk 01","Schule (SC)","0.0","1","Acer pseudoplatanus","Berg-Ahorn","104","0","17","","0.0","20220108000000","602995.06","5791392.34","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"103","00008100:00036750","1110","1557","I 30 73","270","1557-","Sidonienstraße 3, RS, mit Garten","Bezirk 01","Schule (SC)","0.0","1","Acer pseudoplatanus","Berg-Ahorn","69","0","16","","0.0","20220107000000","603009.86","5791378.69","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","mittelstark geschädigt, 26-60%"
"104","00008100:00036763","1110","1557","I 30 73","280","1557-","Sidonienstraße 3, RS, mit Garten","Bezirk 01","Schule (SC)","0.0","1","Fraxinus excelsior","Gemeine Esche","57","0","11","","0.0","20220107000000","602996.95","5791360.48","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","mittelstark geschädigt, 26-60%"
"1","00008100:00045470","1110","2125","IV 10 192","1410","2125-","Bohnenkamp 18, Sportanlage SV Querum","Bezirk 04","Sportplatz, -halle m. Außenanl. (ST)","0.0","1","Quercus robur","Stiel-Eiche","125","0","22","","0.0","20211126000000","607316.39","5796190.7","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","abgestorben"
"2","00008100:000459f3","1110","2125","IV 10 192","1430","2125-","Bohnenkamp 18, Sportanlage SV Querum","Bezirk 04","Sportplatz, -halle m. Außenanl. (ST)","0.0","1","Prunus serotina","Spätblühende Trauben-Kirsche","63","0","11","","0.0","20140909000000","607309.4","5796184.76","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"3","00008100:00045a38","1110","2073","IV 10 140","1400","2073-","Karl-Hintze-Weg 3A Abenteuerspielplatz Zweistromla","Bezirk 04","Grünanlage (GA)","0.0","1","Malus communis","Wildapfel","60","0","11","","0.0","20220426000000","606123.9","5793284.5","0.0","Einzelbäume (Solitärfunktion)","","","mittelstark geschädigt, 26-60%"
"4","00008100:00045a3c","1110","2125","IV 10 192","1170","2125-","Bohnenkamp 18, Sportanlage SV Querum","Bezirk 04","Sportplatz, -halle m. Außenanl. (ST)","0.0","1","Quercus robur","Stiel-Eiche","82","0","15","","0.0","20140906000000","607321.25","5796161.27","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0",""
"5","00008100:00045a5e","1110","2125","IV 10 192","1500","2125-","Bohnenkamp 18, Sportanlage SV Querum","Bezirk 04","Sportplatz, -halle m. Außenanl. (ST)","0.0","1","Quercus robur","Stiel-Eiche","82","0","17","","0.0","20140909000000","607311.46","5796174.43","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","mittelstark geschädigt, 26-60%"
"6","00008100:00045c4a","1110","2125","IV 10 192","1420","2125-","Bohnenkamp 18, Sportanlage SV Querum","Bezirk 04","Sportplatz, -halle m. Außenanl. (ST)","0.0","1","Quercus robur","Stiel-Eiche","150","0","20","","0.0","20211126000000","607311.11","5796189.0","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0","abgestorben"
"7","00008100:00045f25","1110","2345","IV 20 70","310","2345-","Dammwiese-KGV -> Mittelriede","Bezirk 04","Landschaftsschutzfläche (LA)","0.0","1","Salix alba","Silber-Weide","506","0","18","","0.0","20180828000000","606707.23","5792240.84","0.0","Einzelbäume (Solitärfunktion)","Felderfassung, LP 3","1242597600.0",""
